retweeted_status.possibly_sensitive,retweeted_status.retweet_count,retweeted_status.retweeted,retweeted_status.favorite_count,retweeted_status.geo
false,4,false,1,
false,26,false,36,
,,,,
,,,,
,,,,
,,,,
,483,false,1015,
,4,false,7,
,5,false,8,
,,,,
,,,,
,,,,
false,328,false,230,
,,,,
,,,,
false,1,false,0,
,,,,
false,49,false,124,
,,,,
false,5,false,4,
,,,,
false,52,false,103,
false,9,false,23,
,,,,
,,,,
,,,,
false,3,false,6,
,,,,
,,,,
,81,false,154,
,,,,
false,200,false,273,
,2639,false,11618,
,,,,
false,28,false,32,
,,,,
,6,false,8,
false,1,false,1,
false,2106,false,488,
false,1,false,0,
,,,,
,,,,
,2640,false,11619,
false,104,false,144,
false,3412,false,4094,
false,15,false,22,
,82,false,154,
false,76,false,72,
,,,,
,,,,
false,6,false,9,
,,,,
,7,false,9,
false,56,false,50,
false,53,false,104,
,,,,
,,,,
false,316,false,514,
false,20,false,16,
false,3,false,2,
false,54,false,104,
false,235,false,382,
false,30,false,20,
,,,,
false,1162,false,956,
false,1,false,0,
,,,,
false,2,false,0,
false,298,false,376,
,,,,
false,19,false,28,
false,23,false,13,
,68,false,49,
false,30,false,12,
false,7,false,2,
false,20,false,24,
,,,,
false,299,false,376,
true,1668,false,1641,
false,1,false,1,
,,,,
false,95,false,146,
,,,,
,,,,
,,,,
,,,,
,,,,
false,391,false,297,
false,8,false,11,
,,,,
,,,,
,,,,
,,,,
,,,,
false,52,false,108,
false,1163,false,956,
,,,,
,14,false,27,
false,248,false,509,
,,,,
false,1,false,0,
,,,,
false,24,false,13,
,,,,
false,105,false,146,
false,24,false,13,
,,,,
,3,false,2,
false,65,false,93,
false,236,false,383,
,,,,
,,,,
false,1,false,0,
,,,,
,,,,
false,31,false,13,
,,,,
,,,,
,,,,
,20,false,19,
false,101,false,115,
false,2,false,2,
,,,,
,,,,
false,1,false,0,
false,235,false,204,
,,,,
false,237,false,384,
,,,,
,,,,
true,1669,false,1641,
,2,false,0,
false,2,false,0,
false,63,false,272,
false,2,false,1,
,1,false,2,
false,4,false,2,
,,,,
,8,false,10,
false,42,false,28,
false,173,false,255,
false,21,false,16,
false,8,false,3,
,,,,
false,55,false,107,
,,,,
,,,,
false,1,false,0,
,1,false,3,
,,,,
false,201,false,391,
,,,,
false,1,false,1,
false,3,false,0,
false,8,false,2,
false,1,false,0,
,,,,
false,238,false,386,
false,1164,false,956,
false,20,false,22,
false,122,false,110,
false,64,false,273,
,,,,
,,,,
false,32,false,14,
false,53,false,108,
,83,false,158,
,,,,
false,57,false,108,
,,,,
false,1452,false,2095,
false,300,false,378,
true,1671,false,1641,
,,,,
,,,,
,,,,
false,7,false,1,
false,27,false,37,
,,,,
,4,false,9,
false,58,false,109,
false,174,false,256,
false,4,false,1,
false,1,false,0,
,,,,
false,102,false,116,
false,9,false,14,
,,,,
,,,,
false,50,false,125,
false,158,false,61,
false,301,false,379,
,,,,
false,59,false,111,
false,60,false,111,
,,,,
false,28,false,37,
false,238,false,386,
,,,,
,,,,
,,,,
false,1453,false,2093,
false,22,false,23,
,,,,
,,,,
,,,,
,1,false,2,
false,317,false,196,
false,79,false,268,
false,103,false,116,
,,,,
false,2,false,0,
false,201,false,276,
false,12,false,8,
false,456,false,821,
false,2,false,0,
false,106,false,149,
,6,false,11,
,,,,
,,,,
,2641,false,11606,
false,2768,false,5889,
false,239,false,387,
false,239,false,387,
false,139,false,65,
,,,,
,,,,
false,107,false,122,
,,,,
false,2,false,4,
,,,,
,,,,
false,9,false,3,
,,,,
false,9,false,2,
,,,,
false,4,false,4,
false,66,false,93,
false,2,false,0,
,,,,
,9,false,12,
false,41,false,62,
false,113,false,205,
,14,false,30,
false,1,false,1,
false,107,false,149,
false,65,false,274,
false,7,false,7,
,,,,
,,,,
,2,false,2,
,,,,
false,241,false,389,
,,,,
false,242,false,389,
false,108,false,149,
,,,,
false,318,false,196,
,1,false,3,
false,1,false,2,
false,7,false,2,
false,30,false,39,
false,140,false,273,
,,,,
,,,,
false,1454,false,2098,
true,1672,false,1644,
false,62,false,112,
false,27,false,12,
,,,,
,,,,
false,1,false,0,
,,,,
false,12,false,8,
false,52,false,43,
false,5,false,2,
false,9,false,14,
false,1241,false,1707,
,,,,
,,,,
false,96,false,148,
false,22,false,16,
false,243,false,391,
false,1,false,0,
,,,,
,,,,
,,,,
,,,,
,,,,
false,4,false,1,
false,206,false,212,
false,1,false,0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
false,31,false,39,
,,,,
,,,,
,,,,
false,244,false,391,
,,,,
,,,,
,,,,
,5,false,16,
,,,,
false,62,false,85,
true,1673,false,1644,
,,,,
,,,,
,,,,
false,235,false,409,
false,64,false,114,
,,,,
false,904,false,905,
,,,,
,,,,
,,,,
,,,,
,,,,
false,109,false,150,
,,,,
true,1674,false,1644,
,,,,
false,1,false,1,
,,,,
,,,,
,,,,
false,2,false,1,
false,138,false,111,
,,,,
false,1,false,1,
,,,,
false,1,false,1,
,,,,
,,,,
,,,,
,,,,
,,,,
false,99,false,52,
true,717,false,557,
,,,,
,,,,
,,,,
false,138,false,208,
false,1263,false,4179,
,,,,
,,,,
false,65,false,116,
,,,,
,,,,
,,,,
,1,false,2,
,,,,
,,,,
,,,,
,,,,
,,,,
false,139,false,110,
,84,false,160,
false,77,false,72,
false,1,false,0,
false,7,false,5,
false,16,false,24,
false,179,false,289,
false,303,false,381,
,,,,
,,,,
,,,,
,484,false,1016,
,,,,
,,,,
false,202,false,392,
false,98,false,149,
false,80,false,127,
false,15,false,19,
false,64,false,97,
false,106,false,105,
false,305,false,435,
false,10,false,25,
,,,,
false,34,false,18,
,,,,
,,,,
false,114,false,206,
,,,,
false,3,false,0,
false,35,false,18,
,,,,
false,1,false,0,
,,,,
,,,,
false,4,false,10,
false,2379,false,6888,
false,66,false,278,
false,820,false,450,
,,,,
false,108,false,123,
,,,,
false,67,false,278,
,,,,
,,,,
false,20,false,35,
,,,,
false,256,false,283,
,,,,
false,48,false,33,
false,2,false,0,
false,3,false,1,
false,821,false,451,
false,26,false,17,
false,27,false,17,
,,,,
,,,,
false,1,false,1,
false,317,false,517,
false,47,false,41,
false,92,false,108,
false,5,false,7,
false,28,false,19,
false,329,false,230,
,16,false,34,
,,,,
,,,,
,,,,
false,29,false,32,
,18695,false,46724,
false,135,false,98,
false,38,false,48,
false,202,false,276,
false,36,false,19,
false,249,false,509,
false,203,false,276,
false,319,false,197,
,,,,
false,111,false,151,
false,2,false,2,
false,11,false,26,
,,,,
,,,,
false,1,false,1,
,,,,
,,,,
,,,,
false,1127,false,709,
,,,,
false,2,false,2,
,,,,
false,8,false,2,
false,25,false,54,
false,45,false,44,
,,,,
,,,,
false,29,false,19,
false,84,false,137,
false,78,false,72,
false,30,false,19,
false,49,false,82,
false,245,false,394,
,7,false,12,
false,1,false,0,
,2,false,1,
false,99,false,149,
,,,,
false,80,false,268,
false,274,false,227,
false,12,false,27,
,,,,
,,,,
,,,,
false,2,false,2,
false,7,false,8,
,,,,
false,9,false,12,
false,1,false,0,
false,21,false,23,
false,1455,false,2098,
false,237,false,203,
false,22,false,36,
false,39,false,48,
false,80,false,139,
false,509,false,616,
false,112,false,153,
false,1,false,0,
,,,,
false,105,false,106,
,,,,
,,,,
,,,,
,11,false,15,
false,54,false,81,
false,2,false,1,
false,67,false,95,
false,1,false,0,
,,,,
false,21,false,25,
,129,false,238,
,,,,
,,,,
false,2,false,1,
false,1,false,0,
,499,false,268,
false,1,false,0,
false,304,false,383,
false,12,false,19,
,5,false,3,
,18696,false,46725,
false,5,false,9,
false,13,false,29,
false,100,false,149,
,,,,
false,2769,false,5889,
false,113,false,155,
,,,,
,2,false,3,
false,31,false,21,
false,2,false,1,
false,10,false,2,
,3,false,0,
,42,false,53,
false,88,false,235,
,,,,
false,52,false,126,
false,7,false,12,
,2,false,3,
false,1165,false,958,
false,37,false,20,
,,,,
,,,,
false,238,false,206,
false,1456,false,2096,
false,107,false,105,
