id_str,possibly_sensitive,favorite_count,geo,text,coordinates
842422182642909184,false,0,,@realdonaldtrump Please ignore these pictures. https://t.co/QvI3zvNTxZ,
842422186883334144,,0,,RT @CodeAud: #SaudiArabia warns #Trump: #Iran wants legitimacy by supporting terror groups with the aim of reaching #Mecca… ,
842422188460371969,,0,,@XenaPeel @AC360 @CNN Would expect HHS @SecPriceMD would have done his homework! Incompetent ppl in #Trump Cabinet posts seems the norm.,
842422189991313408,,0,,"RT @DumpTrump22: I'm Shocked that #Trump Lied About #Wiretapping and #Lied about #Obama again

He always seemed so up front and… ",
842422190196854784,,0,,RT @NFLNinja_PhD: My ENTIRE family cancelled our #SpringBreak Vacation to #Hawaii cause of the actions #Obama did flying there to int… ,
842422190465253376,false,0,,"Donald Trump's first budget outline, explained - Vox #trump #anti-poor #antiAmerican https://t.co/0B5HIwqP3w",
842422191467728896,,0,,"RT @RJGatorEsq: Thank you, Rachel #Maddow, for committing a federal felony to show that Pres. #Trump properly pays his taxes. 👍🏼🏆… ",
842422194974019584,false,0,,RT @camboviet: Coincidence? #Obama Makes Surprise Visit to #Hawaii 48 Hours Before Judge Blocks #Trump #TravelBan https://t.co/70iBfK5dNv,
842422194869288961,,0,,"Wat #vrtnieuws #vtmnieuws niet snappen is dat het blokkeren van zijn ""extreme vetting order"" een overwinning is voor #Trump",
842422197503291395,,0,,"RT @angelathesaint: One of the last guys leading a ""lock her up"" cheer just registered as a foreign agent.  #LockHerUp #Trump… ",
842422198270885889,false,0,,@CaitrionaPerry @SpeakerRyan @rtenews https://t.co/iGWorLYOJl,
842422199776612352,false,0,,#Passengers #Restricted by Trump's #Travel #Order allowed #Board #Flights to US - https://t.co/k8sNWUYM7c #‘Allowed… https://t.co/hubd9QhVU4,
842422200686768130,false,0,,"RT @nobigotry: #WomansMarch #Hawaii #Trump #Hate #Dishonesty
#IntellectuallyLazy #LatinosForTrump #Woman https://t.co/e07S8LGoQd",
842422203660566528,false,0,,Sylvis Gazette wurde gerade veröffentlicht! https://t.co/3bAzPo0GSJ Mein Tagestipp: @seefahrt24 #politik #trump,
842422208618143744,,0,,#Trump &amp; GOP bought by Wall Street. Dems bought by Wall Street. Stop defending them. The best slaves don't know they're slaves.,
842422209280913408,,0,,"RT @immigrant4trump: President Trump is going to Make America Great Again regardless of the color of your skin, no more business as usua… ",
842422208517496832,false,0,,Pres. #Trump has put #California on notice that it’s reconsidering the miles per gallon requirements for vehicles.… https://t.co/V72gU6Cxts,
842422211835265025,,0,,RT @j10d10: Does the sound guy have a clue?#GRAMMYs,
842422212195950592,,0,,"RT @GiulioMarcon1: Riarmo nucleare, + 52miliardi alla difesa: #Trump torna alla guerra fredda. L'Italia rilanci il disarmo. Stop #F35.
http…",
842422212133023744,false,0,,"RT @Socrates_Wilde: #PreetBharara Proved #Trump Right | Glenn Harlan Reynolds @instapundit @USATODAY
https://t.co/ilXOfhHhrb @rationalreview",
842422212971900928,false,0,,"Crypto Currency is the wave of the future, https://t.co/SHWDsFUcy8 #bitcoin #cryptocurrency #virtualcurrency #forex… https://t.co/StW4utLxp3",
842422210543407104,,0,,"RT @DumpTrump22: For a guy who WINS all the time, #Trump Loses EVERY day
- Another #MuslimBan collapsed
- #TrumpCare is a disaster
-… ",
842422216423796736,false,0,,"""'I love Ireland,' #Trump tells Irish PM"" &lt; be very afraid! https://t.co/HAFKLU3dLL",
842422219020087298,false,0,,"RT @RealAlexJones: .@McDonaldsCorp Show us the email from Twitter proving you were ""compromised"" - https://t.co/SbjBTOtWI4 #imlovingit #Tru…",
842422220903317506,false,0,,"No personal responsibility, personal accountability,or expectation of self-discipline anymore.EVERYTHING bad is som… https://t.co/f8tgHCYeyC",
842422221771575296,,0,,"RT @funder: .#Breaking:3 GOP PACs took $4 Million from Ukrainian businessman

#resist #trumprussia #russiagate #russia… ",
842422226091679744,,0,,"RT @BlueHumanity: #Trump: ""Don't worry America! I'm cutting #MealsOnWheels, but I'll Let You Eat Cake! Believe Me folks! You'll be ea… ",
